x rho vx vy vz p Bx By Bz E
4.467773437500000000e-02 1.250000000000000000e-01 -2.819198133386524625e-16 6.214775121537592333e-16 -7.306354847542792120e-146 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -2.583186529226356726e-146 8.812499999999998668e-01
4.516601562500000000e-02 1.250000000000000000e-01 6.622498029633466223e-16 -4.621546335054619740e-16 -2.162029777303003029e-145 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -7.643929583290974501e-146 8.812499999999998668e-01
4.565429687500000000e-02 1.250000000000000000e-01 1.320793545001859260e-16 -1.323264662377067297e-16 -1.847864852598063206e-145 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -6.533188839941858076e-146 8.812499999999998668e-01
4.614257812500000000e-02 1.250000000000000000e-01 -5.560551902216037343e-16 3.539204109381539806e-16 7.188853313712696599e-145 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 2.541643463540817440e-145 8.812499999999998668e-01
4.663085937500000000e-02 1.250000000000000000e-01 -3.462607933790396730e-16 -7.482440781022352112e-16 3.054901181668680787e-144 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 1.080070670706360478e-144 8.812499999999998668e-01
4.711914062500000000e-02 1.250000000000000000e-01 -8.387168491737791592e-16 -1.323268482952178158e-16 4.415784939401410507e-144 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 1.561215737456082240e-144 8.812499999999998668e-01
4.760742187500000000e-02 1.250000000000000000e-01 -3.517282919260571091e-16 -1.143488578581994103e-16 -5.066768264168972206e-144 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -1.791373099147338544e-144 8.812499999999998668e-01
4.809570312500000000e-02 1.250000000000000000e-01 2.943064212131245464e-16 -4.874221666571604436e-16 -3.917110659120760293e-143 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -1.384907754861198601e-143 8.812499999999998668e-01
4.858398437500000000e-02 1.250000000000000000e-01 3.913885505994405618e-16 1.931153718078842224e-16 -8.033054942132666949e-143 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -2.840113811613059225e-143 8.812499999999998668e-01
4.907226562500000000e-02 1.250000000000000000e-01 2.288774182567115374e-17 2.335173316915965284e-16 -1.863069071836638570e-144 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -6.586943872573014746e-145 8.812499999999998668e-01
4.956054687500000000e-02 1.250000000000000000e-01 -2.322801141004529401e-17 1.871798501166642511e-17 4.490003010180271939e-142 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 1.587455788023240929e-142 8.812499999999998668e-01
5.004882812500000000e-02 1.250000000000000000e-01 3.652263964746015468e-16 -8.749493164009108395e-16 1.260253376001122904e-141 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 4.455668540918172001e-142 8.812499999999998668e-01
